Brand,Title,Selling_Price,Price,Discount,image_indices
WROGN ACTIVE,Solid Round Neck T-shirt,479,799,40%,"['1BzOP2Zze9povFVlCkGt8E5yiZahFdFIT', '1lG7ykGTocFrnSUpnwTij-mGhaCoqQMc7', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1xNHvcQgMMKgB5SGjhv9gmvyr7G_e3c7I', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1N8CiHgUmkSs8kNaYXHJpqzVykTgdwWy9']"
Superdry,Printed Round Neck T-shirt,2879,3599,20%,"['1tPfWusfKjublC_LymZSSopck1UgAgVHx', '1ENxIhyDaCk_BC8Wk6TJrkqeM2Sw-lsMy', '1zwaYClOAQluSdwUV0p7T4AXp-2-HH_VF', '1S8gJgLelS_d7A8klbN0-3-1hcELNRkWy', '1W2tJAI8sNm3OM4GbJCrezKjyuyWZzSi4']"
Levis,Solid Polo Collar T-shirt,1699,1699,0%,"['1aNNLwWCgjOGwmJ6obIff7hONg8jgPylD', '1zUYZU6BeayUAbCjh1G0i3rIghlycDIwV', '1YUJRbM7G9o6sFPFs10ZGgyRT3OcNRHwI', '1dYRSJAoQj7bsRevrwsoopHePvo4bEaVG', '19LM7GJpuAy1gUAlrYSPtwsNM-H_0I3Vk']"
Roadster,Solid Round Neck T-shirt,299,499,40%,"['1cNH17zB-vFBQg9dYktT-1DNEQhQM0CDn', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx', '1CHGHMtyidYlooQDO2LkvsB3T3PiuefCc', '1Jwyrjnehg1h9QwOxsiu68vL02FApz24l', '19pmkBYj-LZ86EOvNIAvcwiqfc9TiwaBr', '1iKnHjma6ZGIWhiPefwpRIBMM3eBpMO7i']"
Difference of Opinion,Solid Round Neck T-shirt,549,1249,56%,"['1vXultWVc-Tp9iRGz27w1WTvC5LrvanUE', '1GitudrSAvY5AAYkGqmq2kE4MNdn7OE1K', '1CnB6FLtRB1ExwKDvqWI5qo84PYqTuw0E', '1R4ENxYNS8AV-BEqawyb4esjXqM6EK-Ad', '1UCfLalO_CQXCQ-jMQes2nm82MyyT2Rj6', '1Ks4MgMCxYwyYDg49pLD0nkZR00uky_wC', '1DXxjQEkMyDWp4AXzCh10oXVeGjic_9f5', '1pEc-G8hKqdJmOVe1rAuCkhslnMASpbH6']"
ether,Solid Mandarin Collar T-shirt,539,899,40%,"['1y3c1DGEyf7K9xpo9BaQCQEs0UAOK3t5o', '1seem6OJbvcaJQ1UcoKgLV-adYKZwZ_00', '1WOsh_R28Aimh9gC0sgLG8xFSZaIKlJk8', '1nPix_8Tdx9mgLgVlngqEIiJkv_Wkxkmh', '1TjWJSgpE7PMsvsIrgyp4PKyWHCifQRU8', '1YraSlu_5WPVHiArK9TwDWiuVbUpdw9t6']"
HRX by Hrithik Roshan,Slim Rapid Dry Raglan T-shirt,494,899,45%,"['1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1qSHcPe6PTxkpOHoElZXZ7k79qxsiPLrx', '1vXultWVc-Tp9iRGz27w1WTvC5LrvanUE', '1b6WYjvwCuYI7jVXHResPuofKdW2tZNFP', '13Q9k__wLVXNKsnBGcrg8fGDy2yP3O97e']"
H&M,Long T-shirt,699,699,0%,"['1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1V7Dz7k-gfWnpQDQz6XWGOWocdKOg-Gkb', '1EOQE2z42kev3bRKGvqSWEkRnSeM0du8P', '1CnB6FLtRB1ExwKDvqWI5qo84PYqTuw0E', '1voTfhlwM_tTnj5frEs8TPKOg8kVxJagE', '1WmmCYZaymlgjVyQ-xHy0qAHlUPiFgaBT', '1B7lBYP3Ty_UBT6wiph9rQBsw9ljAS6C1']"
Roadster,Printed Round Neck T-shirt,499,499,0%,"['1optlUr0FGy1qnCJA4Cuvkr6pNfVOVV8j', '1Im61BPn38ZTsNsAqZopw3Y1chQVpLrJi', '110J6jSv1VOiMnssXhJOCps6tG8nr1nOP', '1rljiMLwDA9czU7PHseT5pxJYt058QELT', '1lG7ykGTocFrnSUpnwTij-mGhaCoqQMc7']"
FIDO DIDO,Printed Polo Collar T-shirt,623,1299,52%,"['1w1q-gxkMlMyknTjUB7YQPgnAc9tmWiX5', '1ulI139-iTqpzeWtLHmMdYw66mCsDzzGE', '1L9ueV9qCGJekqDI2-Iy_qHtCQS9F1j2B', '1mws4R2HMrYPrG-YiPgPIGnWb3vV269L_', '1bBir0xSOlh0d0-2aSL2kmo6k_jlU7rFt', '1TLS5z1H9Gfo40xjxX3ExJklr-q6RACi8', '1PC-cpAJYzfNFDGASNv6urae-vnDQL2si']"
