Brand,Title,Selling_Price,Price,Discount,image_indices
Calvin Klein Jeans,Printed Slim Fit T-shirt,3059,3599,15%,"['1s7jOAQKbtPjCGB1r7J0YLf7gCAVxFTYn', '1lTv6Vi5EkS5R6s0QxFoHWEYwalIWnS5Y', '1L3yj4km9mdf2skM4XAsNoHS7xgrelwlE', '1tT3RyCm0UwZcTr9dbNCbhh4YujYVXcbC', '1UCyfcgmG1bE05wkgPENgc7xrefbh5ZDP', '1p0i4BCs1CnoPtoj2yU-m4RjCGt2Mlxrv']"
HRX by Hrithik Roshan,Lifestyle Printed T-shirt,489,699,30%,"['10QSZIcUbm7_aD2_foEBo6839MoLGTG4i', '1shtwrzaouzEpgE5-g0XSSw08FTW3G5-o', '1R1ZnecaoKDmxwZa_8z325ORPyCNT24Yi', '1G40Ony2HTmLoOjMKVcOZkPSDFBPwBoJy', '1t81UGOUV_vSrs7eQtX_7MTQNUOGodgaf']"
FIDO DIDO,Printed Polo Collar T-shirt,637,1449,56%,"['1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq', '10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7', '18FaywfJZYD4p39ddWh58OgCM4nYCzma9', '1XvQgbLOpOUaqARH_mUj1qEmXlPFett9J', '1Ti6GISg_P9C1-hF8RjRFfRhfrdPbRQYY']"
H&M,Solid Slub Jersey T-shirt,799,799,0%,"['13wkiWY6Ol2r3BiEwlLh8-CeP_M_KHE3v', '1GsIFR9OPOcSSwHD1zXe3GRnifdvf5-RB', '11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa', '1qhECtXFCQ8qjd2c8IZwjBN6Vl0gLpSFc', '1ZNBYlqgMXfXBZxozioNAP02T38VvUc7s', '1_EFO87in4t9Hk_mkBzXNgcqeAyHpqcTT', '1xWtpv95ICpIur0irtanAmCQdHTUJoky0', '1Jje2TMAj-Uz76XexOyYkMiiSDFTvaqlc']"
Roadster,Solid Scoop Neck T-shirt,399,399,0%,"['1iKnHjma6ZGIWhiPefwpRIBMM3eBpMO7i', '1ZzAokVfgIFfoY4_bpS2QIjqIUHNAHFik', '1twIt8S1a83L8hdqdl3q2HHwNBom6Nz_g', '1h1WtPbCt5h7z6uOPk_7b9F1ftwojyfLw', '1SF_M6Ut2zAxcvxh_ORC9YVqcgTwcWy3G', '1BHrFLqYSXFxCoagSpsUx0Dz6caZ89pIq', '110J6jSv1VOiMnssXhJOCps6tG8nr1nOP', '1WN26yEv8fGv5vICNM4dSS_60oUGgbSRZ']"
Moda Rapido,Solid Round Neck T-shirt,419,699,40%,"['1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq', '1jIT-5Zi_H0RdNnorV8rVormNZwKYd31j', '1QJUmu79atSI8DDs_f99wZzTVfYSc352a', '1UWsCqd8XxBXS-tUUqCSPDG1MbbkvJUc4', '1YvidhSG3ahSIBkcRwNxe-KjsW-Op7y02']"
Kook N Keech,Dyed Round Neck T-shirt,419,699,40%,"['1u8_Mz6Yp1Fbvh9aP9H6OxSMtrSHi8Y6T', '1oFo-c8T-yl0XjkIZh_GAEPpmVdNNv4Ea', '1uDQ3KG9ss5zjI8EcMp1B18kh7am29rZ6', '1osKfRL8FZq6b8d_yqXEq91YFxycZQOkm', '1M7PtxlOan9mFod1a2l4iuJSy054kzn8A']"
HRX by Hrithik Roshan,Printed Training T-shirt,489,699,30%,"['1ZNaRF6FY-xL0AxjVzoQvq2lZIUqz5vd2', '1wafzhWM7eZeJXxoC8TZioNQNiwtKhUWz', '1BAzE5KZD7UwR0LjmEVPWbtofY-iRFJCl', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1nBvVQsdHEmDMhQi9hg5TCHq78rISBRdx']"
Roadster,Striped Round Neck T-shirt,599,599,0%,"['1GsIFR9OPOcSSwHD1zXe3GRnifdvf5-RB', '1qIC2LVPAU8cPoevjOeoY4Q0ljXW1fGRb', '1FMaq6iiFSHqfyW-R5qeBMqu3Vag6nEsN', '1SkiV19VTR2gdhhvGgvOuYvMcXGlMxBvr', '1AprXLDFJHCxsnzd1Ai7N5j3tOSD2JTQ8', '1qyEoUdPyKvWtB7twLkVWHfUqEn8dir-G', '1eMR7fn5qhOTqMEkB61Y1q-_R42DAy_wj', '1T92pIUo_9SUQ-ji7s9yGTmW24Dm-R1hK']"
GANT,Solid Polo Collar T-shirt,3499,6999,50%,"['1Ogge6S89ccf69dbeYi1j4ZIOsLYbCj4L', '1lWakZPrdZaJaooNQ9-TlE1Hhz2qkQfJx', '1Q1I4WGIUNgw8QMEMbRfcoKQcFb22ALHL', '1bLGY4Kv-wDBpWhIkqRjT4W8OIxFlfWlP', '1xWtpv95ICpIur0irtanAmCQdHTUJoky0', '1NoLH2g1576WhKxM1JdhNXS2PwUJkhxP-', '1FyDbQFQqh4piNRQQ0vsZer5OFLG-hcW0', '1HNrntXblGFU5nXbjc_tXDwH-geFvFCDy']"
Moda Rapido,Striped Polo Collar T-shirt,699,999,30 %,"['17_YjgooYvfBPigJLvkwrYi1P7ARG4fit', '19-FiBeYK_1rJwi4H30V8fmhpKOBfZp0f', '13wkiWY6Ol2r3BiEwlLh8-CeP_M_KHE3v', '1TjWJSgpE7PMsvsIrgyp4PKyWHCifQRU8', '1h459UudjSE2_L5dD3opvvzA4dYR6xUby', '1I_pIMHs8WkfK_cFqSy9CnnqNwCpIpf5u']"
Jack & Jones,Solid Polo Collar T-shirt,714,1299,45%,"['1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1RstbZPcjFpMzy1prnJ8nuF6XHealSwO-', '1zLzqEjo3bcZuP8lUiMQNeEDJ0WJWWfPN', '1N8CiHgUmkSs8kNaYXHJpqzVykTgdwWy9', '1yFcR6Icv1mK2Dz8myBPp99mfwslZxxN2']"
Mast & Harbour,Striped Polo Collar T-shirt,719,1199,40%,"['104iQw16JM_yUdVQDBP2Bipt_chVi5pjK', '1eMR7fn5qhOTqMEkB61Y1q-_R42DAy_wj', '1klerDRv3LINy_61atJeMGTryYlFu9c5x', '1M7PtxlOan9mFod1a2l4iuJSy054kzn8A']"
Roadster,Printed Round Neck T-shirt,299,599,50%,"['19E2KszMRM-ixpLWADVH_lNXY1ZoD8iWx', '1kZgc2vsO6z_SDucyweX0SrymtvRQEA4c', '1SdhOmoL4xg5BGZ_u4seWzHGDHSML-4t8', '1ENxIhyDaCk_BC8Wk6TJrkqeM2Sw-lsMy']"
SINGLE,Slim Fit Printed T-shirt,454,699,35%,"['1W-yClAQ_0D3NqRpaZqTVGIzljU8L02GL', '1SaPWq4kCyf5NA7Ar_Ms6mXSX8q7OQLDr', '1lWakZPrdZaJaooNQ9-TlE1Hhz2qkQfJx', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '1By5tSziUfkGBr6GzHjmmabnUtwQ10fB-', '1Md7ZH-9acrZ4WdlXUqUhqV2eo5is1DsQ', '1eBAFACxhL57mgF9c84JUnZITPqp_vord', '1QJUmu79atSI8DDs_f99wZzTVfYSc352a']"
WROGN,Men Slim Round Neck T-shirt,519,799,35%,"['1V7Dz7k-gfWnpQDQz6XWGOWocdKOg-Gkb', '1X8gBKQOplVxjxXsN2eILHRZ3XTmhsvBu', '1seRkdOHy_R8zpbVzlF1dnOCm2sfbutSj', '1HNrntXblGFU5nXbjc_tXDwH-geFvFCDy', '1nllUiVLvwNv17ZY7JNo1YXu7ygGxcP5V']"
Mast & Harbour,Striped Polo Collar T-shirt,479,1199,60%,"['1L9ueV9qCGJekqDI2-Iy_qHtCQS9F1j2B', '1rP0ZzHCTyuHrbZNQhCmLrDSP0bMGhkQ1', '1tpLy3Xl9B682k-vSplgSEAQb98blGeU1', '1DHtoX1p0T_7zyutXbxl22_QgC5kK-805']"
Roadster,Solid Polo Collar T-shirt,584,899,35%,"['17LrdatbX3APSpCF9gzj01PXrJBaItBtK', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '19QwvtO4xVHaOWK_0Cz9WnxcTXnKiT7Xh', '1U1yZMZwjqEcdH1SbQOvArxmcZ5Diuf7r', '1ENxIhyDaCk_BC8Wk6TJrkqeM2Sw-lsMy', '1JH_e3KdY_FmItlxWkGA-qPDTZeu8TDMz', '1nzmrK1ldYjoDK4jE107xLdtRkEQgRjNo']"
Blue Saint,Solid Polo Collar T-shirt,539,599,10%,"['1x4JKcp6CDosPchCh4gjRmTeahARQ_zmS', '1KPX5czNmOtUCnguFPcVJi3wgwQSdqHJd', '1Jpp_80sYhREnXnKj9Ja8Y_0TiC7zQ-ch', '1PLREXKD-imEvm1EBbJse-KvX7DhtqX2f', '1r6lGtGcs2CzV99RAdmHAWeoqXQ1USouh', '1X55DPIYo0MlsUG04r44lnwb4PSkSB3CX', '1nJumMQLRmWf7hJN6GMC4wy0IWzm4AaoN']"
Superdry,Printed Round Neck T-shirt,2799,3499,20%,"['1u8_Mz6Yp1Fbvh9aP9H6OxSMtrSHi8Y6T', '1RDnvUNQVIHE1oNgy8rhgstudkgnhEbVJ', '1rQp9kKXnIuvf1uUOpus5KAgLVvFIjmDn', '1PvWpSFUkI80U-ezObfbct92VyIZ8CuXc']"
WROGN,Dyed Round Neck T-shirt,749,999,25%,"['1J5mW793QmMdpCe-jgRQo6B3YP0otrs_U', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1xwF1Iu9NgD5MRRacV0IFp4yH8V42pKKw', '1R4h5KG82SMh0s9HmTqKFa8omiDHDskME', '1lQkBDYub_Ho7teXcV-M00H62l9fHMmO8', '1nzomkTXze2yL5RPw8vATFmOCN8daTAbW', '1ZNBYlqgMXfXBZxozioNAP02T38VvUc7s']"
H&M,Round-Neck T-shirt Regular Fit,399,399,0%,"['1ZGxwyfYd-x4ucC5yFfkKccTJozSOtBl7', '13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1pKQuIsy1BZ_y2KnuSwuuoRivCgShN9VV', '1cCDU47W1qN0kzEdF4YX0toPFMNXhjV-n', '1KPX5czNmOtUCnguFPcVJi3wgwQSdqHJd']"
Justice League,Printed T-shirt,454,1299,65%,"['1JBWinTwuQ-bD-XoYeQ0OU6liEIvOOlZP', '1lnzZGSK1v7fTC_6kEd28_Jp-Lx3P9rH1', '1xDRJS-66ZDZQLV9zPNEk0GyuQ8rSJg2x', '1Ogge6S89ccf69dbeYi1j4ZIOsLYbCj4L', '1OH9dP-Z0oWaRRN6oz5lGzUDrubYd6BCe', '1gEL5qEe6K3cFh-TxpyrRXp3bh15HT6XI', '1rTNrszwKOpeXsJ61qDcmow52Pf-pTmqh', '1GJUuqUE-bA7cxZMISaj_2_-MT3FPAShE']"
Beverly Hills Polo Club,Striped Polo Collar T-shirt,2999,2999,0%,"['1yZdflA5j40p5Gs3t6T-TMPUikcM3mHDP', '1WmmCYZaymlgjVyQ-xHy0qAHlUPiFgaBT', '1KQpbdBDmaNRDdpOSMfbqLv9NN3jgod8Z', '1UkaIzxOfMjJEx7vNgS2txL8k0zkyCp18', '1xDRJS-66ZDZQLV9zPNEk0GyuQ8rSJg2x', '1EJPLcrZi1sEX2VoLnKkEmLsJHTYxOR36', '1Z1vaRyPoWII60nXTI4xRwAHmnOQRSFhH', '1KaqqTMWf5C4KfkTLFfxQCUSGbXfOQiXf']"
Rigo,Round Neck T-shirt,349,999,65%,"['1tdhhBvplp5RPJJjvHnkjvQZysCFo1V_g', '1pObZxrRuzmnq8JCHRl6MXW7596Ker6f7', '1hcQU3f4lKcADID6nTVdWpW_mgGrthUbl', '1cCDU47W1qN0kzEdF4YX0toPFMNXhjV-n', '1TFdRtr_wfKR98pEt8UvR6FlxLOdCVF4v', '1b4IaWB7eJ-HU6dP09d3EELj6IQ4X7sUt', '1nzmrK1ldYjoDK4jE107xLdtRkEQgRjNo', '1BHrFLqYSXFxCoagSpsUx0Dz6caZ89pIq']"
Moda Rapido,Printed T-shirt with Applique,649,999,35%,"['1N9QKUm-foYv0dWYI5MRJFXnMQkC_nQ8U', '1HtpCfRPNgKnaZLP4r49tQ6DeJHur3rgk', '1CnB6FLtRB1ExwKDvqWI5qo84PYqTuw0E', '1HNrntXblGFU5nXbjc_tXDwH-geFvFCDy', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx', '1ylEtnv5sXLhpZg5TDUp6KAYWXP9eXp_y', '19E2KszMRM-ixpLWADVH_lNXY1ZoD8iWx', '10FuRshOnesU1NbhBcLInCgqqGWdRViO_']"
Justice League,Printed Round Neck T-shirt,359,599,40%,"['1PTvHHlhTzaRFupHvddMV74ncOTjVNs1x', '1s81uI78gRSDPaJlGlJJO5MM_Nxn5WVv1', '1RAeizc2pbsDPG4ec0H7CkFIhKi8amFdU', '1rQjtqEyGn9c0hjLLRsWvo1h_qDzSDHRE', '1YUJRbM7G9o6sFPFs10ZGgyRT3OcNRHwI', '1H1ACRjEIgBi-rHaVqHuS8QuZGaNWRCHT', '18wq8YjbjxT4BjKSRGLoS_VJh_WQ5iImh', '1pMUROCRoPlfpnbZeMWl-IK4tvIH_9c_K']"
HRX by Hrithik Roshan,Solid Polo Collar T-shirt,649,1299,50%,"['13E49lKWgmt-Vx8BYT5ZNxIMsYYjUiJKr', '1yZdflA5j40p5Gs3t6T-TMPUikcM3mHDP', '1xDRJS-66ZDZQLV9zPNEk0GyuQ8rSJg2x', '1Jje2TMAj-Uz76XexOyYkMiiSDFTvaqlc', '1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1']"
ether,Solid Round Neck T-shirt,419,699,40%,"['1_7-kcUTUEz9J2fiBQhgKAw4-nyzJarzB', '147LXZU_EyDOjkQ-lM-LvhT-R4HRlDhA5', '1vyJe_HTE8MeAJ_HTojc08XP3_bubzg_h', '1OTbqgJzaHOE1PiCM_RNH1dBhSQ41VKQY', '1oX4w41Yv_oiaOAfYpm3FgeHbmL36Yv98', '18gGVULl--frIjP3Z_eoe-6MQxOeR2-Ek']"
Puma,Printed Logo Split T-shirt,779,1299,40%,"['18gGVULl--frIjP3Z_eoe-6MQxOeR2-Ek', '1R5yNBZwzYvDMvnQzHswsBtYb1ZkDku6C', '1f7P5aJ8v9szQ5GWKUn_eU_S3pL-FzrMq', '1QJUmu79atSI8DDs_f99wZzTVfYSc352a']"
Calvin Klein Jeans,Printed Round Neck T-shirt,3199,3999,20%,"['18ILdoHxEdXZDpgNBb-59zbwHKquT1GXA', '14eQa3G6GP6CtOkmGShQHlyLsuLojlEDi', '1HA1AJFAEp0LtmgKBG1pgj7EAXrgIstjL', '1TmCt2Hkh6Z-tV_iZRgIZkAfujfRDwev4', '1D7QQxiOXIaSR-FBjYLWj9t9CJ2ORhN-M', '1jTViwWS2G8d4WDknvMmUu43BCE45jsAA', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH']"
INVICTUS,Solid Polo Collar T-shirt,519,1299,60%,"['1E9G6B-aTKYHig-f-eIoxVz5rA1gWeZ3t', '1FP-_3DU-v4D-LuL7kcTZMxFaK5UwcNFH', '170eoN-1ZHSe3RhlFBgjty3VD3m6yPiMy', '1i-vhM8NAmX4IHu-x97cf6eG38AjhkmcL', '1RstbZPcjFpMzy1prnJ8nuF6XHealSwO-', '1ZQzNJcQt-J3-I4pz3JVOiGwaSWklaHA3', '13wkiWY6Ol2r3BiEwlLh8-CeP_M_KHE3v']"
Nike,Printed HBR 3 FS T-shirt,1046,1495,30%,"['1dr7U9HQHljBh9ENaXuLkh3yMEc1yxam1', '1x4JKcp6CDosPchCh4gjRmTeahARQ_zmS', '1qhECtXFCQ8qjd2c8IZwjBN6Vl0gLpSFc', '1jIT-5Zi_H0RdNnorV8rVormNZwKYd31j', '1bMulEX1ypHRppNayQVP14MBxoqtvrzzZ', '1nzomkTXze2yL5RPw8vATFmOCN8daTAbW', '170eoN-1ZHSe3RhlFBgjty3VD3m6yPiMy', '1WIPm1XZHaDtwn-VHq4q08o9SrMNooPL9']"
WROGN,Slim Colourblocked T-shirt,629,899,30 %,"['1lG7ykGTocFrnSUpnwTij-mGhaCoqQMc7', '1evEbyKMA4FtGbk8E6bPNfVS46Uo6o7gD', '1U5lb4m8bX5ZwJJG84toxQVh-d5DyYfnS', '1seRkdOHy_R8zpbVzlF1dnOCm2sfbutSj']"
Rigo,Striped Round Neck T-shirt,439,999,56%,"['1_7-kcUTUEz9J2fiBQhgKAw4-nyzJarzB', '1HmeqpDE4ofuqQMApEG64KrXUzx--5dJE', '1usXzCjvb1S5betPaVD89ULBjmOESaW-H', '1hPgU0nKtJEDt90InrrohtFdpp5--MhlK']"
HRX by Hrithik Roshan,Slim Rapid Dry Raglan T-shirt,854,899,5%,"['1BvAklHmvGXYAfz2ylK_Sq7Yv3N8y21Ng', '1AprXLDFJHCxsnzd1Ai7N5j3tOSD2JTQ8', '1KaqqTMWf5C4KfkTLFfxQCUSGbXfOQiXf', '1kZgc2vsO6z_SDucyweX0SrymtvRQEA4c', '16NrMgF0FKJUOOH4C_V1Ki-qLkb-EeI0l', '1IM-OJZgeVQZ9_QRea4M0xMAAeuQ-yAa2', '1f7P5aJ8v9szQ5GWKUn_eU_S3pL-FzrMq', '1-_LV8IB_TSKHdfPxczysb_7Jx3DkxwUi']"
Superdry,Men Solid Round Neck T-shirt,2399,2999,20%,"['11rSUOtjn4wORo31S3iAyxpHq4mvJX-Tp', '1YIttdbBZt7ei4xZLJ-C_P25zGoX5xuFk', '1QUEbL-lHEtFmJaqEIEJW9zdkvIGRL8vu', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '1B7lBYP3Ty_UBT6wiph9rQBsw9ljAS6C1', '1A6b3KiNzmTBDz0e3HMud0SBJ8z37Mp68', '1vgKd64j8pYhIbDKz4kIuJJOWpM57E57-', '1ZNBYlqgMXfXBZxozioNAP02T38VvUc7s']"
H&M,Long T-shirt,699,699,0%,"['11rSUOtjn4wORo31S3iAyxpHq4mvJX-Tp', '1aNNLwWCgjOGwmJ6obIff7hONg8jgPylD', '1LRgDbcxtlxXIp_IsDCgyz0YGqrgFN4Wq', '1vnwIdNjVZQSG_EQd51KiYGoGzHK-cFVv']"
ether,Self Design Polo Collar T-shirt,899,899,0%,"['1XB9nHa0t2AxSpM-1czqi8YWjl_neePT6', '1iLgiwHk4LpiixEfHQoqQfJimGtNeIg2E', '184r1cEgX7nI3hZwU3s0Zi5JEZ09Q1ylc', '1rEpVpnmd_Mdj-AIeZpWI_PVm-0HMTJbG']"
INVICTUS,Printed Polo Collar T-shirt,649,1299,50%,"['1seRkdOHy_R8zpbVzlF1dnOCm2sfbutSj', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1_lC_TeIt9cYcXHI5epmDaoMaPJVXbUsr', '1H3pZzAvkTRdx9z2UmjBv6vSZ7IrNjg7_', '1s7jOAQKbtPjCGB1r7J0YLf7gCAVxFTYn', '1k20qN0LxHAaQuCW28eGkBMh7hC7ov_D1', '1UMrbQ6hClcE6bIbekq671iROgJudP7lN']"
HRX by Hrithik Roshan,Lifestyle Printed T-shirt,384,699,45%,"['1oVJ8qwzLJnS20BvwaaS6LJndYWe6JoaR', '1YUJRbM7G9o6sFPFs10ZGgyRT3OcNRHwI', '1XYHWq_anJNmrgUTMQgI8uV1W18JIxFIH', '1lQkBDYub_Ho7teXcV-M00H62l9fHMmO8']"
SG,Solid Polo Collar T-shirt,711,749,5%,"['1-u-d49O87DUohvJ_PEZD3TpabvZeAhsF', '1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq', '13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1iPfeAFcaqNBoRX6s3FAPwKl8-_E8gPCW', '1Q1I4WGIUNgw8QMEMbRfcoKQcFb22ALHL', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa']"
Proline,Regular Fit Striped T-shirt,659,1099,40%,"['1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1', '1tPfWusfKjublC_LymZSSopck1UgAgVHx', '1AfSCb0a2dlSROO5hfD2QInqQE8w6jW4_', '1A689ZnInae_syzXYTf3QC3uzlXFt2Edz', '1xAMpejy9WsiSbxh30KE9SYkvGbB1VNwo']"
HERE&NOW,Striped Round Neck T-shirt,384,699,45%,"['1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '13Qj51CoedMZfK9xRhaXmP0DXhqTKTDPP', '1G1SfMxnmAYL8hCoaUfBx_EevUxQ8in3g', '1OXRhjD8YJhFJDP8VOopPFeE6lW20_2I4']"
Superdry,CITY SPORT Polo Collar T-shirt,3679,4599,20%,"['1vM3TXHZqE8pbz57vni9QZcMMBmVvJDMt', '1BHrFLqYSXFxCoagSpsUx0Dz6caZ89pIq', '1ZrPtyCxzsVZOzgaXVPtdDcNrk8lLevcJ', '1tuD83Ei77YOsVLM6ipeH99_b_25ZZG1h', '1ohmN9ASqKaR4gz9if8wUiO2j1eg_Z3HD', '1OPKHbluFeGdtUFW3Mm3RE6-nGdmmfO-1']"
Jack & Jones,Printed Slim Fit T-shirt,824,1499,45%,"['11RMLeBpELH5m227d7mqhv6YcyG1D419v', '1gO6I8aaEjD0xACDZvSHNh4DfemTNqtus', '1cHTZtEXlY9Aekm9eVgcItCNqvPFyHn_A', '1XvQgbLOpOUaqARH_mUj1qEmXlPFett9J', '1L9ueV9qCGJekqDI2-Iy_qHtCQS9F1j2B', '1BcDqeKOpVXe0HUdZ1Scame00yAmrxIDL']"
H&M,Men Premium Cotton Polo Shirt,1499,1499,0%,"['141BVeSIP9hOXC7c1QCOMQjzASTKOgm11', '1A689ZnInae_syzXYTf3QC3uzlXFt2Edz', '11RsYL-0lqbaVrGzfBJgnVrvfQUwwU7xN', '1ZzAokVfgIFfoY4_bpS2QIjqIUHNAHFik', '1KaqqTMWf5C4KfkTLFfxQCUSGbXfOQiXf']"
ether,Pack Of 2 Solid T-shirt,539,899,40%,"['1usXzCjvb1S5betPaVD89ULBjmOESaW-H', '1NKMyrlUl-0OUfWVXDJdKf9IwDXNcqiuU', '1TMTUPahQ51fqtpL-9c3K0vsV4Re6Pxm1', '1MKrsNljh7iQimduLRT7TWniFt7QByh-G', '1foGkhG5sjCX-TzHt7f5mknkDTyHWPlgJ', '13Rzf5Q8TyV1X3uMp2GLX8cjXjQoiRO08']"
HERE&NOW,Dyed Hood T-shirt,659,1099,40%,"['13Q9k__wLVXNKsnBGcrg8fGDy2yP3O97e', '11vUTAMCWtnbYdPljrz3fLtQt6uuv2eES', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1rljiMLwDA9czU7PHseT5pxJYt058QELT', '1IfA5Hmjh2DvYBJ2pYlHzLuSmg8RbQ2d5']"
U.S. Polo Assn.,Colourblocked Polo Collar T-shirt,1424,1899,25%,"['1O4Qia96r8hY-pVtdETa2BNlR_3a2E6YO', '1Los3t-vhSnCaPDILreVNiAf-u6P6Zt53', '1_L9idFpp_QeVlwNZbZIsmT3-GcHfHg5Z', '1PQJ2WBiKk0czVcJrOOYrLAEiVT6U-NgM', '11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa', '1_L9idFpp_QeVlwNZbZIsmT3-GcHfHg5Z', '1UkaIzxOfMjJEx7vNgS2txL8k0zkyCp18', '1nzmrK1ldYjoDK4jE107xLdtRkEQgRjNo']"
Roadster,Solid Polo Collar T-shirt,1044,1099,5%,"['1uOPBpcdGV6QB-sGwhU5S9T6bbn1XxpEC', '11YwMRORVKkIwpqpEKZa3XuGdmqP0SWFE', '1DUQRlyIxRA50-tc0_dSGOA_8CppHJuvX', '1thi6qZlHouvGgDo8JypdA2UC4pbaGb5h', '1DAys7W33oanZlFZ9y5U0rpJuKRIDZeh1', '1rBvNEf5K9FhGTN8zljJLeds5qkAcok-4', '1wl0FZMQs-_x0IuwYMYQF2x8bAaSWduh8']"
Beverly Hills Polo Club,Printed Polo Collar T-shirt,3899,3899,0%,"['1A158H2A9pw_UR7pu1bGwlr8PEcy30-th', '1ulI139-iTqpzeWtLHmMdYw66mCsDzzGE', '16-xI242iO44czJxobL4fqLtMBmpRSdSU', '1sZa5omWpSMdMLZsiQVI0ksj2GGPyz53R', '1G40Ony2HTmLoOjMKVcOZkPSDFBPwBoJy', '1bMulEX1ypHRppNayQVP14MBxoqtvrzzZ']"
HRX by Hrithik Roshan,Lifestyle Regular Fit Tshirts,899,899,0%,"['10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7', '18qlevUlQzT1-PABzDuu72i-EbD-AMuM2', '1ZsMjwqaUD9b2JBMaSjPIn8dYjZF3bzC7', '15dTFssciTByO6DyJI_rszUBsGFf5dGCE', '1sxDrnY-bqNbgU2RUQbGKlY5RsP--Xj89']"
H&M,Solid Slub Jersey T-shirt,799,799,0%,"['1XdP_WzbVCAVWb6g7OylOOLX8zqPDbfpy', '1_lC_TeIt9cYcXHI5epmDaoMaPJVXbUsr', '1e3qqs5qpLlosm6BPccYVA03LTWYzEEWp', '1NKMyrlUl-0OUfWVXDJdKf9IwDXNcqiuU', '1nllUiVLvwNv17ZY7JNo1YXu7ygGxcP5V', '1SaPWq4kCyf5NA7Ar_Ms6mXSX8q7OQLDr', '1rBvNEf5K9FhGTN8zljJLeds5qkAcok-4']"
Superdry,Men Round Neck T-shirt,2399,2999,20%,"['1F7qnBsTgfLoFoyiYGGUPzwMv1nQpC_20', '1Z5BTysXu2_kSQog_uByQOrytApIq2hmZ', '1xTDXG9a3OsUOsxzUjWij2HOwX8-UlM_x', '1pObZxrRuzmnq8JCHRl6MXW7596Ker6f7', '1rtFRlGxwD08vZd2k1CbIdNE6ucgMAHcy', '110J6jSv1VOiMnssXhJOCps6tG8nr1nOP']"
WROGN,Striped Round Neck T-shirt,714,1099,35%,"['1TE3TrCZUZW-Y7VYXK0dOKtq66soDDLn1', '1KbTjAV-4tC9I5rQW9icbmWItuLw5roP6', '1xAMpejy9WsiSbxh30KE9SYkvGbB1VNwo', '1amDtEEiwyaxbxnrsZWW1QPHNFz8IQVS7', '1qOs_wggUYYGU4ze3bcxNtEDi7SzbR4Y4', '1eBPP3rGVlK1nWdBeEVTyjALWT4MaIBzr']"
Beverly Hills Polo Club,Colourblocked Polo Collar T-shirt,2999,2999,0%,"['1gVghTKy0Hxc1q9DbSJ30r_fi7GRjYwz5', '1_lC_TeIt9cYcXHI5epmDaoMaPJVXbUsr', '1wlvAdiYM2hYhFYcULCnDCw5kxLXnkgdq', '1OIMKWFOd0_3y87Mucr1UpecvH2Ck0iSU']"
HRX by Hrithik Roshan,Solid Round Neck T-shirt,934,1099,15%,"['1jq6xLIPH0pIbu-UXQDZXgpyIB7_Fi78v', '1WWgqMyInYoNkz-c0_xLMKHv3FmPP3rz3', '1IM-OJZgeVQZ9_QRea4M0xMAAeuQ-yAa2', '1pObZxrRuzmnq8JCHRl6MXW7596Ker6f7', '1sQKn21ho-4aZazl_yrJTuw4-v1wvPIML', '1i-vhM8NAmX4IHu-x97cf6eG38AjhkmcL', '1XyxeA_DXOtuyh6HU17TGnJtZMgaT5Xhl']"
Celio,Self-Design T-shirt,399,999,60%,"['1Md7ZH-9acrZ4WdlXUqUhqV2eo5is1DsQ', '1HmeqpDE4ofuqQMApEG64KrXUzx--5dJE', '1hS3yx4PsXsk-_QSNS7-kwdOrZwGk9tbh', '1Q9KPLfALvmlTEbASxg-DH7tOfC2DY7yX', '12oqT8hiLlUVDy_sQJ6mSdalUb6lIZ3vO', '1R1ZnecaoKDmxwZa_8z325ORPyCNT24Yi', '1AzHTXapPUyunYQSvnalI5DrIW3UTwtSv']"
